"Date","Time (GMT)","Wind Speed (kn)","Wind Dir (deg)","Wind Gust (kn)","Air Temp (°F)","Baro (mb)","Humidity (%)","Visibility (nm)"
"2022/09/21","09:48","6.03","329","8.36","81.3","1014.2","-","-"
"2022/09/21","09:54","7.39","326","8.75","81.5","1014.2","-","-"
"2022/09/21","10:00","6.41","329","8.75","81.3","1014.2","-","-"
"2022/09/21","10:06","7.97","332","10.5","81.5","1014.3","-","-"
"2022/09/21","10:12","7.58","325","9.52","81.5","1014.3","-","-"
"2022/09/21","10:18","7.78","326","10.5","81.5","1014.4","-","-"
"2022/09/21","10:24","7.39","331","10.69","81.5","1014.4","-","-"
"2022/09/21","10:30","8.94","328","11.08","81.5","1014.4","-","-"
"2022/09/21","10:36","9.14","330","11.08","81.5","1014.4","-","-"
"2022/09/21","10:42","8.94","327","11.27","81.5","1014.5","-","-"
"2022/09/21","10:48","8.16","328","10.69","81.3","1014.5","-","-"
"2022/09/21","10:54","7.78","331","10.89","81.1","1014.6","-","-"
"2022/09/21","11:00","9.14","331","11.08","81.3","1014.6","-","-"
"2022/09/21","11:06","8.75","332","10.5","81.3","1014.7","-","-"
"2022/09/21","11:12","8.94","328","10.5","81.1","1014.8","-","-"
"2022/09/21","11:18","8.16","333","10.5","81.1","1014.8","-","-"
"2022/09/21","11:24","7.78","328","10.11","81.1","1014.8","-","-"
"2022/09/21","11:30","7","328","9.52","81","1014.8","-","-"
"2022/09/21","11:36","6.61","325","9.14","81","1014.9","-","-"
"2022/09/21","11:42","5.64","322","8.55","80.8","1015","-","-"
"2022/09/21","11:48","7.19","330","9.52","80.8","1015","-","-"
"2022/09/21","11:54","7.78","331","9.91","80.8","1015.1","-","-"
"2022/09/21","12:00","7.97","329","9.52","81","1015.1","-","-"
"2022/09/21","12:06","8.36","332","9.72","81.1","1015.1","-","-"
"2022/09/21","12:12","7.19","334","9.72","81.3","1015.2","-","-"
"2022/09/21","12:18","8.94","340","10.11","81.3","1015.2","-","-"
"2022/09/21","12:24","9.14","349","10.5","81.5","1015.3","-","-"
"2022/09/21","12:30","7.78","356","11.08","81.9","1015.4","-","-"
"2022/09/21","12:36","8.16","348","11.27","81.5","1015.4","-","-"
"2022/09/21","12:42","8.36","344","10.3","81.7","1015.5","-","-"
"2022/09/21","12:48","8.55","349","10.5","81.5","1015.4","-","-"
"2022/09/21","12:54","7.97","354","10.89","81.9","1015.4","-","-"
"2022/09/21","13:00","8.36","346","10.5","81.9","1015.5","-","-"
"2022/09/21","13:06","7.58","354","10.89","82","1015.5","-","-"
"2022/09/21","13:12","9.52","1","11.47","82.2","1015.6","-","-"
"2022/09/21","13:18","8.94","357","11.86","82.2","1015.6","-","-"
"2022/09/21","13:24","7.97","2","11.08","82.4","1015.6","-","-"
"2022/09/21","13:30","9.52","8","11.08","82","1015.7","-","-"
"2022/09/21","13:36","7.39","6","10.5","82.2","1015.7","-","-"
"2022/09/21","13:42","8.36","12","10.69","82.2","1015.7","-","-"
"2022/09/21","13:48","8.36","12","10.69","82.4","1015.7","-","-"
